"year","age","pred_weight"
2006,13,0.987555700024371
2006,14,0.969906002591154
2006,15,0.841114356726629
2007,0,0.0330214670330475
2007,1,0.10531025686778
2007,2,0.260000418016629
2007,3,0.427643020058289
2007,4,0.538248200314797
2007,5,0.547701529330699
2007,6,0.549228959595272
2007,7,0.609883544823242
2007,8,0.727409328067692
2007,9,0.721714267375307
2007,10,0.749509653193259
2007,11,0.840985558128971
2007,12,0.834576398859905
2007,13,0.847459844024056
2007,14,0.972175458274723
2007,15,0.877902202320945
2008,0,0.0323255617140568
2008,1,0.105637936518942
2008,2,0.280853945700267
2008,3,0.507779070733025
2008,4,0.617176500122952
2008,5,0.655052989422627
2008,6,0.652401562970287
2008,7,0.685513653007722
2008,8,0.776592575222063
2008,9,0.893121969071225
2008,10,0.843674097654478
2008,11,0.87122221734198
2008,12,1.01795522947503
2008,13,1.04168378174658
2008,14,1.02308955414695
2008,15,1.07912713493692
2009,0,0.030220162991645
2009,1,0.087611830938646
2009,2,0.238683774648048
2009,3,0.464701859570364
2009,4,0.62086320198464
2009,5,0.63635045408867
2009,6,0.661059578906445
2009,7,0.689875629859079
2009,8,0.739529593143399
2009,9,0.80782682577284
2009,10,0.884531548820389
2009,11,0.83084413307653
2009,12,0.893433458181764
2009,13,1.07644442233132
2009,14,1.06542664746416
2009,15,0.962132180146111
2010,0,0.0325981939517999
2010,1,0.0930701380904519
2010,2,0.224937893742149
2010,3,0.448759502429638
2010,4,0.645642951207056
2010,5,0.727410854101087
2010,6,0.729721946256746
2010,7,0.794315967914146
2010,8,0.845682087765306
2010,9,0.874132915636049
2010,10,0.909112660490683
2010,11,0.989817320587034
2010,12,0.968165733644879
2010,13,1.07354938147307
2010,14,1.25105425315305
2010,15,1.13852225577108
2011,0,0.033890787726466
2011,1,0.0882097427697858
2011,2,0.209951840610185
2011,3,0.371588996353392
2011,4,0.547824084660883
2011,5,0.664638861722059
2011,6,0.732909391652217
2011,7,0.770405826410762
2011,8,0.855537562103596
2011,9,0.87829115434222
2011,10,0.864343497958475
2011,11,0.893858733395088
2011,12,1.01343210772753
2011,13,1.02216023494337
2011,14,1.09626618514721
2011,15,1.17463672211149
2012,0,0.0341294351993207
2012,1,0.0981999572679467
2012,2,0.213075002871636
2012,3,0.371386853568535
2012,4,0.485732237653559
2012,5,0.603866667789442
2012,6,0.71707215758413
2012,7,0.828550639689089
2012,8,0.888529735728089
2012,9,0.951430518525313
2012,10,0.929938061688165
2012,11,0.910005821243215
2012,12,0.979975272581094
2012,13,1.14569904969536
2012,14,1.1176854391286
2012,15,1.10217376094662
2013,0,0.0390334632986012
2013,1,0.0989282154160842
2013,2,0.237295052894759
2013,3,0.377051593941536
2013,4,0.485648495493412
2013,5,0.535621871453791
2013,6,0.651747876953433
2013,7,0.810948114156334
2013,8,0.955944993317337
2013,9,0.988487998271585
2013,10,1.00775283969581
2013,11,0.979429684814279
2013,12,0.998048941022898
2013,13,1.10828753507721
2013,14,1.25323525153891
2013,15,1.12412622728474
2014,0,0.0436972094325217
2014,1,0.11694357333873
2014,2,0.247084646820046
2014,3,0.434015422698592
2014,4,0.509617698769258
2014,5,0.553517839134589
2014,6,0.597509850953986
2014,7,0.761829934582085
2014,8,0.967063772491921
2014,9,1.09920966212368
2014,10,1.0821726494546
2014,11,1.09703749139186
2014,12,1.11027134287748
2014,13,1.16664136156973
2014,14,1.2530335471782
2014,15,1.30279562059538
2015,0,0.0350679200148319
2015,1,0.101120367334207
2015,2,0.22560442170108
2015,3,0.349066282044994
2015,4,0.453100504244071
2015,5,0.448641804408362
2015,6,0.476940333527241
2015,7,0.539472287120036
2015,8,0.701723048252153
2015,9,0.858911485665058
2015,10,0.929504189826848
2015,11,0.909933500538108
2015,12,0.960556686388578
2015,13,1.00244446821096
2015,14,1.01881019229003
2015,15,1.00612524866937
2016,0,0.0370083557642715
2016,1,0.104102736849022
2016,2,0.250251731069882
2016,3,0.40886219113139
2016,4,0.467481563505562
2016,5,0.511701848952229
2016,6,0.495906010480659
2016,7,0.552402105892272
2016,8,0.637446956767043
2016,9,0.799514310780287
2016,10,0.931722169665923
2016,11,1.00260913500524
2016,12,1.0220646991804
2016,13,1.11255476248867
2016,14,1.12300952420288
2016,15,1.04942120353148
2017,0,0.0423769929343376
2017,1,0.10565045642435
2017,2,0.247753641389953
2017,3,0.436139962714365
2017,4,0.526566209867349
2017,5,0.507699079469367
2017,6,0.54392130103846
2017,7,0.5523445763501
2017,8,0.627696468507497
2017,9,0.698431792123549
2017,10,0.834033909327124
2017,11,0.966465114158184
2017,12,1.08297850959189
2017,13,1.13840352963265
2017,14,1.19857153780255
2017,15,1.11239605671721
2018,0,0.0472903876100837
2018,1,0.127384099174367
2018,2,0.264754148355446
2018,3,0.454655380580785
2018,4,0.591446429067544
2018,5,0.602155103798387
2018,6,0.568249357945912
2018,7,0.6379112859681
2018,8,0.660872910936908
2018,9,0.72417433644706
2018,10,0.767175920826859
2018,11,0.910955071404299
2018,12,1.0992281979336
2018,13,1.27013879325092
2018,14,1.29137475998329
2018,15,1.25012505254397
2019,0,0.0455597382264413
2019,1,0.120387089154846
2019,2,0.270338918551033
2019,3,0.411459428274623
2019,4,0.522148245262957
2019,5,0.572786475480133
2019,6,0.570772322339005
2019,7,0.564397561049425
2019,8,0.646383256664543
2019,9,0.645703813352475
2019,10,0.673652691468719
2019,11,0.709627061658041
2019,12,0.877446391335585
2019,13,1.09179514428907
2019,14,1.22019487555905
2019,15,1.14067979219386
2020,0,0.0332496266079303
2020,1,0.124345161630085
2020,2,0.273913789774494
2020,3,0.450436367814591
2020,4,0.506616274708627
2020,5,0.542140428617986
2020,6,0.582087026073153
2020,7,0.607784626933376
2020,8,0.613134243241018
2020,9,0.677089579537314
2020,10,0.64397187677028
2020,11,0.668054488103797
2020,12,0.732815141590966
2020,13,0.934360609082507
2020,14,1.12450089537532
2020,15,1.15553015066149
2021,0,0.0455673039948729
2021,1,0.100947484385996
2021,2,0.314719701929645
2021,3,0.507691426550569
2021,4,0.616945248390357
2021,5,0.585137815697415
2021,6,0.612869510854895
2021,7,0.689502400275368
2021,8,0.734482092568076
2021,9,0.714451349253982
2021,10,0.75117432840814
2021,11,0.710401378215329
2021,12,0.767427236244334
2021,13,0.868059351944262
2021,14,1.07051861940098
2021,15,1.18460332614857
2022,0,0.0518347911084534
2022,1,0.134441507761797
2022,2,0.24829150040556
2022,3,0.566867000894843
2022,4,0.675747297406212
2022,5,0.692463624856909
2022,6,0.64281455231008
2022,7,0.705484036952953
2022,8,0.809726951960778
2022,9,0.831705574909779
2022,10,0.770262190091779
2022,11,0.805283764500285
2022,12,0.793049744893495
2022,13,0.883412431598337
2022,14,0.966496835817812
2022,15,1.09591956309569
2023,0,0.0422357318494373
2023,1,0.135192154447466
2023,2,0.292314139231613
2023,3,0.395338576220787
2023,4,0.666984528695824
2023,5,0.670478343538119
2023,6,0.672472601705784
2023,7,0.654116299142664
2023,8,0.732386111896961
2023,9,0.810544927209539
2023,10,0.792657600184413
2023,11,0.729956335309184
2023,12,0.79468620444648
2023,13,0.807006112045816
2023,14,0.869490054698831
2023,15,0.874651382373795
